transaction_ref,reason,severity,flagged_at
10e282a0-bcea-47f4-a8e4-6c91e0f5cab0,velocity_breach,medium,2026-09-11T10:47:07.463Z
5282475f-ddd7-49e9-a4d7-aaccea44146d,velocity_breach,medium,2026-09-11T10:47:07.463Z
2b8f8c9f-b412-4014-9212-1ae735814c98,velocity_breach,medium,2026-09-11T10:47:07.463Z
26ec5695-6d8b-4e40-acee-80a10bd0591f,velocity_breach,medium,2026-09-11T10:47:07.463Z
e232e970-c7c0-4ebd-a838-d69256e0461a,velocity_breach,medium,2026-09-11T10:47:07.463Z
5f0f99a0-ab56-46e0-8933-67da58f84f64,velocity_breach,medium,2026-09-11T10:47:07.463Z
beb629e7-8238-4bfe-b40c-37671110dac3,velocity_breach,medium,2026-09-11T10:47:07.463Z
2c783bb5-71a2-46f9-bb05-840c2c6f9d16,velocity_breach,medium,2026-09-11T10:47:07.463Z
110c4780-993c-41f4-a4e6-293522c427c4,velocity_breach,medium,2026-09-11T10:47:07.463Z
8fd3ef2e-f724-4d5e-990c-e07db5ecb250,velocity_breach,medium,2026-09-11T10:47:07.463Z
4ae08591-8cb6-40b0-9f32-7412984fc97c,velocity_breach,medium,2026-09-11T10:47:07.463Z
58d593e0-d712-42c7-893c-49241bd310f8,velocity_breach,medium,2026-09-11T10:47:07.463Z
005bedf0-3613-4047-a48f-b6981b0661b1,velocity_breach,medium,2026-09-11T10:47:07.463Z
1eb911df-75c8-4618-beef-8db0df74e60b,velocity_breach,medium,2026-09-11T10:47:07.463Z
c39b554c-b804-4309-9637-dcc2f5932ea2,velocity_breach,medium,2026-09-11T10:47:07.463Z
c0e84e39-5add-44e2-9faa-37f95d719801,velocity_breach,medium,2026-09-11T10:47:07.463Z
f2e2e2db-0666-4c71-9e75-c745b9bc93b8,velocity_breach,medium,2026-09-11T10:47:07.463Z
d91a572e-4d99-41ed-829b-4f65b933dbed,velocity_breach,medium,2026-09-11T10:47:07.463Z
815abe8f-a8ed-4dc4-87a9-4f67874dcf35,velocity_breach,medium,2026-09-11T10:47:07.463Z
64c0310d-eee2-4a05-a6ec-f63c747c134d,velocity_breach,medium,2026-09-11T10:47:07.463Z
dfeb87af-79d3-4962-b38f-b1b65a3184a5,velocity_breach,medium,2026-09-11T10:47:07.463Z
aaaee0ef-cbf3-4191-b993-95f06d4ab099,velocity_breach,medium,2026-09-11T10:47:07.463Z
b81278d5-68df-4b3f-a424-25739db1b183,velocity_breach,medium,2026-09-11T10:47:07.463Z
cc57763d-9111-48ba-a905-f35aa1ea771c,velocity_breach,medium,2026-09-11T10:47:07.463Z
1a01c952-c9a1-490d-ac38-c1b2250008f6,velocity_breach,medium,2026-09-11T10:47:07.463Z
18771288-30cb-4b5f-9319-9c046e89ba5a,velocity_breach,medium,2026-09-11T10:47:07.463Z
2c69d9c3-460e-4c82-a5a1-847edb267637,velocity_breach,medium,2026-09-11T10:47:07.463Z
4cd97c56-fe72-4601-8341-04dea4402c2c,velocity_breach,medium,2026-09-11T10:47:07.463Z
dbbb9492-c551-414e-880a-6112b1c31cdb,velocity_breach,medium,2026-09-11T10:47:07.463Z
1046ae2e-ca76-4f46-a5af-37fffa8e3bbc,velocity_breach,medium,2026-09-11T10:47:07.463Z
ddf38ae1-5453-47c5-bd81-a0bd5b6cb7cd,velocity_breach,medium,2026-09-11T10:47:07.463Z
0de1db42-9b00-4a89-b011-94f0311dc233,velocity_breach,medium,2026-09-11T10:47:07.463Z
38f7965e-ad0e-4b66-a1b3-341105173316,velocity_breach,medium,2026-09-11T10:47:07.463Z
65759e29-03bc-4ccd-b479-abaad9b15d32,velocity_breach,medium,2026-09-11T10:47:07.463Z
c8f7d2d3-bcc5-49fa-914a-be7029ae9009,velocity_breach,medium,2026-09-11T10:47:07.463Z
e0cce72e-b357-4d47-8019-d20fb7facf05,velocity_breach,medium,2026-09-11T10:47:07.463Z
76afddb1-edf5-4957-af5c-ac9c8545c8cb,velocity_breach,medium,2026-09-11T10:47:07.463Z
7cf42487-967b-4c77-b751-ef7ee7fec09b,velocity_breach,medium,2026-09-11T10:47:07.463Z
b862a1b9-a4eb-4494-9c23-682b31939c76,velocity_breach,medium,2026-09-11T10:47:07.463Z
0f5904d8-e68e-4db7-a624-8551a41f4744,velocity_breach,medium,2026-09-11T10:47:07.463Z
2f8b3d77-6cf2-4708-a6fe-5e98ba00282d,velocity_breach,medium,2026-09-11T10:47:07.463Z
982cb88b-10df-4e21-887e-5528cc6d9b41,velocity_breach,medium,2026-09-11T10:47:07.463Z
1682ebaf-ee73-4229-bcd2-77417bf70303,velocity_breach,medium,2026-09-11T10:47:07.463Z
86355791-b34d-4b6c-9d53-da4fe1856915,velocity_breach,medium,2026-09-11T10:47:07.463Z
0e7cce2a-9870-4325-a545-e9541242567c,velocity_breach,medium,2026-09-11T10:47:07.463Z
62c1079a-ce09-4a91-b7d0-22a92f24e460,velocity_breach,medium,2026-09-11T10:47:07.463Z
491a8e61-1844-4e80-b142-f5d8291c2e39,velocity_breach,medium,2026-09-11T10:47:07.463Z
9e45fcf4-7e67-46b7-bb2b-9f6f1a862e45,velocity_breach,medium,2026-09-11T10:47:07.463Z
1b394a36-9bb6-4eed-8821-16cf388907a7,velocity_breach,medium,2026-09-11T10:47:07.463Z
c52cb41f-0de9-411f-b19a-7d952461f594,velocity_breach,medium,2026-09-11T10:47:07.463Z
2f48bfb0-06ab-48a4-869f-cb4d66ef2107,velocity_breach,medium,2026-09-11T10:47:07.463Z
b303a099-c2f7-44c2-b9cc-2bb0ef961179,velocity_breach,medium,2026-09-11T10:47:07.463Z
5448691b-1c5d-436a-b0b1-947c406a0544,velocity_breach,medium,2026-09-11T10:47:07.463Z
6d3d8f83-0781-48e2-9fc0-072d9f84172d,velocity_breach,medium,2026-09-11T10:47:07.463Z
49357a97-ded0-486c-9281-b0076fdd0fd7,velocity_breach,medium,2026-09-11T10:47:07.463Z
55a318fc-d43c-4b34-ad84-7b6c4a53fdfe,velocity_breach,medium,2026-09-11T10:47:07.463Z
2a0bba5b-c644-410c-bfb4-8d29a2042163,velocity_breach,medium,2026-09-11T10:47:07.463Z
11ffb83c-ae3b-4dfc-95f7-593de48014fe,velocity_breach,medium,2026-09-11T10:47:07.463Z
037e0413-a1e0-4519-aec6-a242f703c797,velocity_breach,medium,2026-09-11T10:47:07.463Z
41f75321-4213-4bfd-8bba-c24232416a34,velocity_breach,medium,2026-09-11T10:47:07.463Z
5666ea1f-5d85-49d2-80b3-f5cbc528e1da,velocity_breach,medium,2026-09-11T10:47:07.463Z
89354ee9-a5d5-4ae2-abaa-3410a9eccd5b,velocity_breach,medium,2026-09-11T10:47:07.463Z
73762543-52f7-4d30-b730-0f404cdc7a3d,velocity_breach,medium,2026-09-11T10:47:07.463Z
1a640a6f-1fe6-4f47-bda0-4baf75f7e96d,velocity_breach,medium,2026-09-11T10:47:07.463Z
db6874c1-31d1-40e3-902d-6f684d43e7bc,velocity_breach,medium,2026-09-11T10:47:07.463Z
f965077a-17b4-48c0-ad25-d701fe02bb9b,velocity_breach,medium,2026-09-11T10:47:07.463Z
91816691-4647-4929-bde2-da0213857d83,velocity_breach,medium,2026-09-11T10:47:07.463Z
8947a616-f653-4052-80ca-9930d8affa05,velocity_breach,medium,2026-09-11T10:47:07.463Z
4e6be4e8-f90f-4b6b-b471-0a9e18aa2d5e,velocity_breach,medium,2026-09-11T10:47:07.463Z
8ce46848-2ad3-43b5-9b2b-be2b7262a161,velocity_breach,medium,2026-09-11T10:47:07.463Z
cd92353c-5be1-4329-91dd-e8def8526d81,velocity_breach,medium,2026-09-11T10:47:07.463Z
14150a67-6fc6-40d5-937b-30335acb9fca,velocity_breach,medium,2026-09-11T10:47:07.463Z
b02789d6-0e19-4c2e-a534-a20c90b58670,velocity_breach,medium,2026-09-11T10:47:07.463Z
8e2393ea-6a85-4be0-b31b-1c1bd06a2274,velocity_breach,medium,2026-09-11T10:47:07.463Z
36a0e299-4400-4d0d-b78a-f6b3897f4604,velocity_breach,medium,2026-09-11T10:47:07.463Z
91a26e1a-644b-4332-be8f-ab7b7a3267fa,velocity_breach,medium,2026-09-11T10:47:07.463Z
46d1dae9-134a-4e9a-b26c-2cd11736a3c9,velocity_breach,medium,2026-09-11T10:47:07.463Z
a70cedf7-b43a-4134-bef5-dd7f70f24737,velocity_breach,medium,2026-09-11T10:47:07.463Z
97da3bcf-b3b3-412d-8012-2b1d842096c2,velocity_breach,medium,2026-09-11T10:47:07.463Z
e41e2b15-b24e-4dc5-920c-7d152fb700ab,velocity_breach,medium,2026-09-11T10:47:07.463Z
ba80b373-2f73-4e1c-89ac-47dd31fbbb49,velocity_breach,medium,2026-09-11T10:47:07.463Z
b6e9ccd8-b1bb-4ff6-a553-5b7c08c33def,velocity_breach,medium,2026-09-11T10:47:07.463Z
ef85b68b-ada2-4063-94cc-940d5b4c6a7c,velocity_breach,medium,2026-09-11T10:47:07.463Z
04d9a764-e223-46a9-b7b5-144f42d66db8,velocity_breach,medium,2026-09-11T10:47:07.463Z
1cd0eace-d324-461c-83cb-3ec7be5874f1,velocity_breach,medium,2026-09-11T10:47:07.463Z
